Project Name,Package Name,Type Name,Code Smell
app,org.apache.roller.planet.business,AbstractManagerImpl,Unutilized Abstraction
app,org.apache.roller.planet.business,BootstrapException,Unutilized Abstraction
app,org.apache.roller.planet.business,InitializationException,Unutilized Abstraction
app,org.apache.roller.planet.business,Manager,Unutilized Abstraction
app,org.apache.roller.planet.business,PlanetManager,Unutilized Abstraction
app,org.apache.roller.planet.business,PlanetManager,Cyclic-Dependent Modularization
app,org.apache.roller.planet.business,PlanetProvider,Unutilized Abstraction
app,org.apache.roller.planet.business,EntryBasicTests,Unutilized Abstraction
app,org.apache.roller.planet.business,EntryFunctionalTests,Unutilized Abstraction
app,org.apache.roller.planet.business,EntryFunctionalTests,Deficient Encapsulation
app,org.apache.roller.planet.business,GroupBasicTests,Unutilized Abstraction
app,org.apache.roller.planet.business,GroupFunctionalTests,Unutilized Abstraction
app,org.apache.roller.planet.business,PlanetBasicTests,Unutilized Abstraction
app,org.apache.roller.planet.business,PlanetBasicTests,Deficient Encapsulation
app,org.apache.roller.planet.business,PlanetFunctionalTests,Unutilized Abstraction
app,org.apache.roller.planet.business,PlanetFunctionalTests,Deficient Encapsulation
app,org.apache.roller.planet.business,PropertiesTest,Unutilized Abstraction
app,org.apache.roller.planet.business,PropertiesTest,Deficient Encapsulation
app,org.apache.roller.planet.business,RomeFeedFetcherTest,Unutilized Abstraction
app,org.apache.roller.planet.business,RomeFeedFetcherTest,Deficient Encapsulation
app,org.apache.roller.planet.business,SingleThreadedFeedUpdaterTest,Unutilized Abstraction
app,org.apache.roller.planet.business,SingleThreadedFeedUpdaterTest,Deficient Encapsulation
app,org.apache.roller.planet.business,SubscriptionBasicTests,Unutilized Abstraction
app,org.apache.roller.planet.business,SubscriptionFunctionalTests,Unutilized Abstraction
app,org.apache.roller.planet.business.fetcher,FetcherException,Unutilized Abstraction
app,org.apache.roller.planet.business.fetcher,RomeFeedFetcher,Unutilized Abstraction
app,org.apache.roller.planet.business.jpa,JPAPlanetManagerImpl,Insufficient Modularization
app,org.apache.roller.planet.business.updater,SingleThreadedFeedUpdater,Unutilized Abstraction
app,org.apache.roller.planet.business.updater,UpdaterException,Unutilized Abstraction
app,org.apache.roller.planet.config,PlanetRuntimeConfig,Cyclic-Dependent Modularization
app,org.apache.roller.planet.pojos,PlanetGroup,Cyclic-Dependent Modularization
app,org.apache.roller.planet.pojos,PlanetGroup,Insufficient Modularization
app,org.apache.roller.planet.pojos,StaticTemplate,Unutilized Abstraction
app,org.apache.roller.planet.pojos,StaticTemplate,Insufficient Modularization
app,org.apache.roller.planet.pojos,Subscription,Cyclic-Dependent Modularization
app,org.apache.roller.planet.pojos,Subscription,Insufficient Modularization
app,org.apache.roller.planet.pojos,SubscriptionEntry,Cyclic-Dependent Modularization
app,org.apache.roller.planet.pojos,SubscriptionEntry,Insufficient Modularization
app,org.apache.roller.planet.tasks,GeneratePlanetTask,Unutilized Abstraction
app,org.apache.roller.planet.tasks,GeneratePlanetTask,Broken Hierarchy
app,org.apache.roller.planet.tasks,PlanetTask,Unutilized Abstraction
app,org.apache.roller.planet.tasks,RefreshPlanetTask,Unutilized Abstraction
app,org.apache.roller.planet.tasks,RefreshPlanetTask,Broken Hierarchy
app,org.apache.roller.planet.tasks,StaticPlanetModel,Unutilized Abstraction
app,org.apache.roller.planet.util.rome,ContentModuleGenerator,Unutilized Abstraction
app,org.apache.roller.planet.util.rome,ContentModuleImpl,Unutilized Abstraction
app,org.apache.roller.planet.util.rome,ContentModuleParser,Unutilized Abstraction
app,org.apache.roller.planet.util.rome,PlanetConverterForRSS091N,Unutilized Abstraction
app,org.apache.roller.planet.util.rome,PlanetConverterForRSS091U,Unutilized Abstraction
app,org.apache.roller.planet.util.rome,PlanetConverterForRSS20,Unutilized Abstraction
app,org.apache.roller.planet.util.rome,PlanetRSS091NParser,Unutilized Abstraction
app,org.apache.roller.planet.util.rome,PlanetRSS091UParser,Unutilized Abstraction
app,org.apache.roller,RollerException,Unutilized Abstraction
app,org.apache.roller.util,DateUtil,Deficient Encapsulation
app,org.apache.roller.util,DateUtil,Insufficient Modularization
app,org.apache.roller.util,RegexUtil,Deficient Encapsulation
app,org.apache.roller.util,RollerConstants,Deficient Encapsulation
app,org.apache.roller.util,PropertyExpanderTest,Unutilized Abstraction
app,org.apache.roller.util,RegexUtilTest,Unutilized Abstraction
app,org.apache.roller.weblogger.business,AbstractURLStrategy,Unutilized Abstraction
app,org.apache.roller.weblogger.business,BookmarkManager,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.business,BootstrapException,Unutilized Abstraction
app,org.apache.roller.weblogger.business,FileIOException,Unutilized Abstraction
app,org.apache.roller.weblogger.business,FileNotFoundException,Unutilized Abstraction
app,org.apache.roller.weblogger.business,FilePathException,Unutilized Abstraction
app,org.apache.roller.weblogger.business,GuiceWebloggerProvider,Unutilized Abstraction
app,org.apache.roller.weblogger.business,HitCountQueue,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.business,InitializationException,Unutilized Abstraction
app,org.apache.roller.weblogger.business,MediaFileManager,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.business,MultiWeblogURLStrategy,Unutilized Abstraction
app,org.apache.roller.weblogger.business,MultiWeblogURLStrategy,Broken Hierarchy
app,org.apache.roller.weblogger.business,MultiWeblogURLStrategy,Insufficient Modularization
app,org.apache.roller.weblogger.business,PreviewURLStrategy,Unutilized Abstraction
app,org.apache.roller.weblogger.business,TestTask,Deficient Encapsulation
app,org.apache.roller.weblogger.business,URLStrategy,Insufficient Modularization
app,org.apache.roller.weblogger.business,UserManager,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.business,UserManager,Insufficient Modularization
app,org.apache.roller.weblogger.business,WeblogEntryManager,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.business,WeblogEntryManager,Insufficient Modularization
app,org.apache.roller.weblogger.business,WebloggerImpl,Unutilized Abstraction
app,org.apache.roller.weblogger.business,WebloggerImpl,Insufficient Modularization
app,org.apache.roller.weblogger.business,BookmarkTest,Unutilized Abstraction
app,org.apache.roller.weblogger.business,BookmarkTest,Deficient Encapsulation
app,org.apache.roller.weblogger.business,CommentTest,Unutilized Abstraction
app,org.apache.roller.weblogger.business,CommentTest,Deficient Encapsulation
app,org.apache.roller.weblogger.business,CustomTemplateRenditionTest,Unutilized Abstraction
app,org.apache.roller.weblogger.business,CustomTemplateRenditionTest,Deficient Encapsulation
app,org.apache.roller.weblogger.business,FileContentManagerTest,Unutilized Abstraction
app,org.apache.roller.weblogger.business,FolderCRUDTest,Unutilized Abstraction
app,org.apache.roller.weblogger.business,FolderCRUDTest,Deficient Encapsulation
app,org.apache.roller.weblogger.business,FolderFunctionalityTest,Unutilized Abstraction
app,org.apache.roller.weblogger.business,FolderFunctionalityTest,Deficient Encapsulation
app,org.apache.roller.weblogger.business,HitCountTest,Unutilized Abstraction
app,org.apache.roller.weblogger.business,HitCountTest,Deficient Encapsulation
app,org.apache.roller.weblogger.business,MediaFileTest,Unutilized Abstraction
app,org.apache.roller.weblogger.business,MediaFileTest,Deficient Encapsulation
app,org.apache.roller.weblogger.business,PermissionTest,Unutilized Abstraction
app,org.apache.roller.weblogger.business,PermissionTest,Deficient Encapsulation
app,org.apache.roller.weblogger.business,PingsTest,Unutilized Abstraction
app,org.apache.roller.weblogger.business,PingsTest,Deficient Encapsulation
app,org.apache.roller.weblogger.business,PlanetManagerLocalTest,Unutilized Abstraction
app,org.apache.roller.weblogger.business,PlanetManagerLocalTest,Deficient Encapsulation
app,org.apache.roller.weblogger.business,PropertiesTest,Unutilized Abstraction
app,org.apache.roller.weblogger.business,PropertiesTest,Deficient Encapsulation
app,org.apache.roller.weblogger.business,SQLScriptRunnerTest,Deficient Encapsulation
app,org.apache.roller.weblogger.business,TaskLockTest,Unutilized Abstraction
app,org.apache.roller.weblogger.business,TaskLockTest,Deficient Encapsulation
app,org.apache.roller.weblogger.business,ThemeManagerTest,Unutilized Abstraction
app,org.apache.roller.weblogger.business,ThemeManagerTest,Deficient Encapsulation
app,org.apache.roller.weblogger.business,UserTest,Unutilized Abstraction
app,org.apache.roller.weblogger.business,UserTest,Deficient Encapsulation
app,org.apache.roller.weblogger.business,WeblogCategoryCRUDTest,Unutilized Abstraction
app,org.apache.roller.weblogger.business,WeblogCategoryCRUDTest,Deficient Encapsulation
app,org.apache.roller.weblogger.business,WeblogCategoryFunctionalityTest,Unutilized Abstraction
app,org.apache.roller.weblogger.business,WeblogCategoryFunctionalityTest,Deficient Encapsulation
app,org.apache.roller.weblogger.business,WeblogEntryTest,Unutilized Abstraction
app,org.apache.roller.weblogger.business,WeblogEntryTest,Deficient Encapsulation
app,org.apache.roller.weblogger.business,WeblogPageTest,Unutilized Abstraction
app,org.apache.roller.weblogger.business,WeblogPageTest,Deficient Encapsulation
app,org.apache.roller.weblogger.business,WeblogStatsTest,Unutilized Abstraction
app,org.apache.roller.weblogger.business,WeblogTest,Unutilized Abstraction
app,org.apache.roller.weblogger.business,WeblogTest,Deficient Encapsulation
app,org.apache.roller.weblogger.business.jpa,JPAMediaFileManagerImpl,Deficient Encapsulation
app,org.apache.roller.weblogger.business.jpa,JPAMediaFileManagerImpl,Insufficient Modularization
app,org.apache.roller.weblogger.business.jpa,JPAUserManagerImpl,Insufficient Modularization
app,org.apache.roller.weblogger.business.jpa,JPAWeblogEntryManagerImpl,Insufficient Modularization
app,org.apache.roller.weblogger.business.jpa,JPAWebloggerModule,Unutilized Abstraction
app,org.apache.roller.weblogger.business.jpa,JPAWeblogManagerImpl,Insufficient Modularization
app,org.apache.roller.weblogger.business.jpa,JPAOAuthManagerTest,Unutilized Abstraction
app,org.apache.roller.weblogger.business.jpa,JPAOAuthManagerTest,Deficient Encapsulation
app,org.apache.roller.weblogger.business.pings,PingQueueTask,Deficient Encapsulation
app,org.apache.roller.weblogger.business.pings,WeblogUpdatePinger,Deficient Encapsulation
app,org.apache.roller.weblogger.business.plugins.comment,AutoformatPlugin,Unutilized Abstraction
app,org.apache.roller.weblogger.business.plugins.comment,HTMLSubsetPlugin,Unutilized Abstraction
app,org.apache.roller.weblogger.business.plugins.comment,LinkMarkupPlugin,Unutilized Abstraction
app,org.apache.roller.weblogger.business.plugins.comment,WeblogEntryCommentPlugin,Unutilized Abstraction
app,org.apache.roller.weblogger.business.plugins.entry,ObfuscateEmailPlugin,Unutilized Abstraction
app,org.apache.roller.weblogger.business.plugins.entry,SmileysPlugin,Deficient Encapsulation
app,org.apache.roller.weblogger.business.plugins.entry,WeblogEntryPlugin,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.business.plugins.entry,EncodePreTagsPluginTest,Unutilized Abstraction
app,org.apache.roller.weblogger.business.plugins,PluginManager,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.business.plugins,CommentPluginsTest,Unutilized Abstraction
app,org.apache.roller.weblogger.business.runnable,ContinuousWorkerThread,Unutilized Abstraction
app,org.apache.roller.weblogger.business.runnable,HitCountProcessingJob,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.business.runnable,ResetHitCountsTask,Deficient Encapsulation
app,org.apache.roller.weblogger.business.runnable,RollerTaskWithLeasing,Broken Hierarchy
app,org.apache.roller.weblogger.business.runnable,ScheduledEntriesTask,Deficient Encapsulation
app,org.apache.roller.weblogger.business.runnable,TaskRunner,Unutilized Abstraction
app,org.apache.roller.weblogger.business.runnable,ThreadManagerImpl,Unutilized Abstraction
app,org.apache.roller.weblogger.business.search,SearchResultMap,Unutilized Abstraction
app,org.apache.roller.weblogger.business.search,IndexManagerTest,Deficient Encapsulation
app,org.apache.roller.weblogger.business.search.lucene,AddEntryOperation,Unutilized Abstraction
app,org.apache.roller.weblogger.business.search.lucene,AddEntryOperation,Broken Hierarchy
app,org.apache.roller.weblogger.business.search.lucene,FieldConstants,Deficient Encapsulation
app,org.apache.roller.weblogger.business.search.lucene,FieldConstants,Broken Modularization
app,org.apache.roller.weblogger.business.search.lucene,IndexOperation,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.business.search.lucene,IndexUtil,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.business.search.lucene,LuceneIndexManager,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.business.search.lucene,ReadFromIndexOperation,Unutilized Abstraction
app,org.apache.roller.weblogger.business.search.lucene,RebuildWebsiteIndexOperation,Unutilized Abstraction
app,org.apache.roller.weblogger.business.search.lucene,RebuildWebsiteIndexOperation,Broken Hierarchy
app,org.apache.roller.weblogger.business.search.lucene,ReIndexEntryOperation,Unutilized Abstraction
app,org.apache.roller.weblogger.business.search.lucene,ReIndexEntryOperation,Broken Hierarchy
app,org.apache.roller.weblogger.business.search.lucene,RemoveEntryOperation,Unutilized Abstraction
app,org.apache.roller.weblogger.business.search.lucene,RemoveEntryOperation,Broken Hierarchy
app,org.apache.roller.weblogger.business.search.lucene,RemoveWebsiteIndexOperation,Unutilized Abstraction
app,org.apache.roller.weblogger.business.search.lucene,RemoveWebsiteIndexOperation,Broken Hierarchy
app,org.apache.roller.weblogger.business.search.lucene,SearchOperation,Unutilized Abstraction
app,org.apache.roller.weblogger.business.search.lucene,SearchOperation,Broken Hierarchy
app,org.apache.roller.weblogger.business.search.lucene,SearchOperation,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.business.search.lucene,WriteToIndexOperation,Unutilized Abstraction
app,org.apache.roller.weblogger.business.themes,SharedThemeFromDir,Unutilized Abstraction
app,org.apache.roller.weblogger.business.themes,SharedThemeTemplate,Insufficient Modularization
app,org.apache.roller.weblogger.business.themes,ThemeInitializationException,Unutilized Abstraction
app,org.apache.roller.weblogger.business.themes,ThemeManager,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.business.themes,ThemeMetadata,Insufficient Modularization
app,org.apache.roller.weblogger.business.themes,ThemeNotFoundException,Unutilized Abstraction
app,org.apache.roller.weblogger.business.themes,ThemeParsingException,Unutilized Abstraction
app,org.apache.roller.weblogger.business.themes,WeblogCustomTheme,Unutilized Abstraction
app,org.apache.roller.weblogger.business.themes,WeblogSharedTheme,Unutilized Abstraction
app,org.apache.roller.weblogger.planet.business,PlanetURLStrategy,Unutilized Abstraction
app,org.apache.roller.weblogger.planet.business,WebloggerRomeFeedFetcherTest,Unutilized Abstraction
app,org.apache.roller.weblogger.planet.business,WebloggerRomeFeedFetcherTest,Deficient Encapsulation
app,org.apache.roller.weblogger.planet.tasks,RefreshRollerPlanetTask,Deficient Encapsulation
app,org.apache.roller.weblogger.planet.tasks,SyncWebsitesTask,Deficient Encapsulation
app,org.apache.roller.weblogger.planet.ui,PlanetConfig,Unutilized Abstraction
app,org.apache.roller.weblogger.planet.ui,PlanetConfig,Broken Hierarchy
app,org.apache.roller.weblogger.planet.ui,PlanetConfig,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.planet.ui,PlanetGroups,Unutilized Abstraction
app,org.apache.roller.weblogger.planet.ui,PlanetGroups,Broken Hierarchy
app,org.apache.roller.weblogger.planet.ui,PlanetGroupSubs,Unutilized Abstraction
app,org.apache.roller.weblogger.planet.ui,PlanetGroupSubs,Broken Hierarchy
app,org.apache.roller.weblogger.planet.ui,PlanetUIAction,Unutilized Abstraction
app,org.apache.roller.weblogger.planet.ui,PlanetUIAction,Deficient Encapsulation
app,org.apache.roller.weblogger.pojos,AutoPing,Deficient Encapsulation
app,org.apache.roller.weblogger.pojos,CommentSearchCriteria,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos,CustomTemplateRendition,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos,GlobalPermission,Deficient Encapsulation
app,org.apache.roller.weblogger.pojos,GlobalPermission,Unexploited Encapsulation
app,org.apache.roller.weblogger.pojos,GlobalPermission,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos,MediaFile,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos,MediaFile,Insufficient Modularization
app,org.apache.roller.weblogger.pojos,MediaFileComparator,Unutilized Abstraction
app,org.apache.roller.weblogger.pojos,MediaFileDirectoryComparator,Unutilized Abstraction
app,org.apache.roller.weblogger.pojos,OAuthAccessorRecord,Insufficient Modularization
app,org.apache.roller.weblogger.pojos,PingQueueEntry,Deficient Encapsulation
app,org.apache.roller.weblogger.pojos,PingTarget,Deficient Encapsulation
app,org.apache.roller.weblogger.pojos,RuntimeConfigProperty,Deficient Encapsulation
app,org.apache.roller.weblogger.pojos,StaticTemplate,Unutilized Abstraction
app,org.apache.roller.weblogger.pojos,StaticThemeTemplate,Unutilized Abstraction
app,org.apache.roller.weblogger.pojos,StaticThemeTemplate,Insufficient Modularization
app,org.apache.roller.weblogger.pojos,TagStatComparator,Unutilized Abstraction
app,org.apache.roller.weblogger.pojos,ThemeTemplate,Broken Hierarchy
app,org.apache.roller.weblogger.pojos,User,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos,User,Insufficient Modularization
app,org.apache.roller.weblogger.pojos,UserRole,Deficient Encapsulation
app,org.apache.roller.weblogger.pojos,Weblog,Deficient Encapsulation
app,org.apache.roller.weblogger.pojos,Weblog,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos,Weblog,Insufficient Modularization
app,org.apache.roller.weblogger.pojos,Weblog,Hub-like Modularization
app,org.apache.roller.weblogger.pojos,WeblogBookmark,Deficient Encapsulation
app,org.apache.roller.weblogger.pojos,WeblogBookmark,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos,WeblogBookmark,Insufficient Modularization
app,org.apache.roller.weblogger.pojos,WeblogBookmarkFolder,Deficient Encapsulation
app,org.apache.roller.weblogger.pojos,WeblogBookmarkFolder,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos,WeblogCategory,Deficient Encapsulation
app,org.apache.roller.weblogger.pojos,WeblogCategory,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos,WeblogCategory,Insufficient Modularization
app,org.apache.roller.weblogger.pojos,WeblogEntry,Deficient Encapsulation
app,org.apache.roller.weblogger.pojos,WeblogEntry,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos,WeblogEntry,Insufficient Modularization
app,org.apache.roller.weblogger.pojos,WeblogEntry,Hub-like Modularization
app,org.apache.roller.weblogger.pojos,WeblogEntryAttribute,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos,WeblogEntryComment,Deficient Encapsulation
app,org.apache.roller.weblogger.pojos,WeblogEntryComment,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos,WeblogEntryComment,Insufficient Modularization
app,org.apache.roller.weblogger.pojos,WeblogEntrySearchCriteria,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos,WeblogEntrySearchCriteria,Insufficient Modularization
app,org.apache.roller.weblogger.pojos,WeblogEntryTag,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos,WeblogEntryTagAggregate,Deficient Encapsulation
app,org.apache.roller.weblogger.pojos,WeblogEntryTagComparator,Unutilized Abstraction
app,org.apache.roller.weblogger.pojos,WeblogEntryWrapperComparator,Unutilized Abstraction
app,org.apache.roller.weblogger.pojos,WeblogHitCount,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos,WeblogPermission,Deficient Encapsulation
app,org.apache.roller.weblogger.pojos,WeblogPermission,Broken Hierarchy
app,org.apache.roller.weblogger.pojos,WeblogPermission,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos,WeblogTemplate,Deficient Encapsulation
app,org.apache.roller.weblogger.pojos,WeblogTemplate,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos,WeblogTemplate,Insufficient Modularization
app,org.apache.roller.weblogger.pojos,WeblogTheme,Deficient Encapsulation
app,org.apache.roller.weblogger.pojos,WeblogTheme,Broken Hierarchy
app,org.apache.roller.weblogger.pojos.wrapper,WeblogBookmarkWrapper,Unutilized Abstraction
app,org.apache.roller.weblogger.pojos.wrapper,WeblogCategoryWrapper,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos.wrapper,WeblogEntryAttributeWrapper,Unutilized Abstraction
app,org.apache.roller.weblogger.pojos.wrapper,WeblogEntryCommentWrapper,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos.wrapper,WeblogEntryTagWrapper,Unutilized Abstraction
app,org.apache.roller.weblogger.pojos.wrapper,WeblogEntryWrapper,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos.wrapper,WeblogEntryWrapper,Insufficient Modularization
app,org.apache.roller.weblogger.pojos.wrapper,WeblogWrapper,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.pojos.wrapper,WeblogWrapper,Insufficient Modularization
app,org.apache.roller.weblogger.ui.core,CmaRollerContext,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.core,CmaRollerContext,Broken Hierarchy
app,org.apache.roller.weblogger.ui.core,RollerContext,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.ui.core,RollerLoginSessionManager,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.ui.core,SingletonHolder,Unnecessary Abstraction
app,org.apache.roller.weblogger.ui.core,SingletonHolder,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.ui.core,SessionCacheHandler,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.core,RollerSession,Deficient Encapsulation
app,org.apache.roller.weblogger.ui.core,RollerSession,Cyclic-Dependent Modularization
app,org.apache.roller.weblogger.ui.core,RollerLoginSessionManagerTest,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.core,RollerSessionTest,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.core.filters,BootstrapFilter,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.core.filters,CharEncodingFilter,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.core.filters,CustomOpenIDAuthenticationProcessingFilter,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.core.filters,DebugFilter,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.core.filters,IPBanFilter,Unutilized Abstraction
